"playername","playername2","Sackmann_playername","Sackmann_id"
"Elsner D.","elsner d","Daniel Elsner","103305"
"Emmrich M.","emmrich m","Martin Emmrich","104465"
"Enqvist T.","enqvist t","Thomas Enqvist","102358"
"Eriksson M.","eriksson m","Markus Eriksson","105436"
"Erlich J.","erlich j","Jonathan Erlich","102968"
"Eschauer W.","eschauer w","Werner Eschauer","102381"
"Escobar G.","escobar g","Gonzalo Escobar","105271"
"Escobedo E.","escobedo e","Ernesto Escobedo","124014"
"Escude N.","escude n","Nicolas Escude","102765"
"Estrella Burgos V.","estrella v","Victor Estrella","103607"
"Estrella V.","estrella v","Victor Estrella","103607"
"Etlis G.","etlis g","Gaston Etlis","102477"
"Eubanks C.","eubanks c","Christopher Eubanks","111153"
"Evans B.","evans b","Brendan Evans","104717"
"Evans D.","evans d","Daniel Evans","105554"
"Eysseric J.","eysseric j","Jonathan Eysseric","105559"
"Fabbiano T.","fabbiano t","Thomas Fabbiano","105341"
"Fahlke A.","fahlke a","Andy Fahlke","103381"
"Falla A.","falla a","Alejandro Falla","104268"
"Falla A. ","falla a","Alejandro Falla","104268"
"Farah R.","farah r","Robert Farah","104857"
"Fasching A.","fasching a","Andreas Fasching","103677"
"Faurel J.C.","faurel j c","Jean Christophe Faurel","103726"
"Federer R.","federer r","Roger Federer","103819"
"Federer R. ","federer r","Roger Federer","103819"
"Ferreira W.","ferreira w","Wayne Ferreira","101965"
"Ferreiro F.","ferreiro f","Franco Ferreiro","104392"
"Ferrer D.","ferrer d","David Ferrer","103970"
"Ferrer D. ","ferrer d","David Ferrer","103970"
"Ferrero J.","ferrero j","Juan Carlos Ferrero","103507"
"Ferrero J.C.","ferrero j c","Juan Carlos Ferrero","103507"
"Ferrero J.C. ","ferrero j c","Juan Carlos Ferrero","103507"
"Fidirko N.","fidirko n","Nikolai Fidirko","104953"
"Filippini M.","filippini m","Marcelo Filippini","101382"
"Fischer M.","fischer m","Martin Fischer","104770"
"Fish M.","fish m","Mardy Fish","103888"
"Fitz S.","fitz s","Sebastian Fitz","103422"
"Flanagan I.","flanagan i","Ian Flanagan","103913"
"Fleischfresser T.","fleischfresser t","Timo Fleischfresser","103348"
"Fleishman Z.","fleishman z","Zack Fleishman","103530"
"Fleming C.","fleming c","Colin Fleming","104415"
"Flygt K.","flygt k","Kalle Flygt","102808"
"Fognini F.","fognini f","Fabio Fognini","104926"
"Fogues F.","fogues f","Francisco Fogues","103032"
"Fornell M.","fornell m","Marc Fornell Mestres","103924"
"Fraile G.","fraile g","Gorka Fraile","103165"
"Fratangelo B.","fratangelo b","Bjorn Fratangelo","106216"
"Freelove O.","freelove o","Oliver Freelove","102948"
"Friedl L.","friedl l","Leos Friedl","102904"
"Fritz T.","fritz t","Taylor Harry Fritz","126203"
"Froberg J.","froberg j","Jonas Froberg","103751"
"Fromberg R.","fromberg r","Richard Fromberg","101735"
"Fruttero J.P.","fruttero j p","John Paul Fruttero","103762"
"Fucsovics M.","fucsovics m","Marton Fucsovics","105916"
"Fukarek O.","fukarek o","Ota Fukarek","102921"
"Furlan R.","furlan r","Renzo Furlan","101746"
"Fyrstenberg M.","fyrstenberg m","Mariusz Fyrstenberg","103586"
"Gabashvili T.","gabashvili t","Teymuraz Gabashvili","104559"
"Gaio F.","gaio f","Federico Gaio","105943"
"Galan D.E.","galan d e","Daniel Elahi Galan Riveros","123755"
"Galdon P.","galdon p","Pablo Galdon","104640"
"Galimberti G.","galimberti g","Giorgio Galimberti","102851"
"Gallardo M.","gallardo m","Miguel Gallardo Valles","103746"
"Gallardo Valles M.","gallardo m","Miguel Gallardo Valles","103746"
"Galovic V.","galovic v","Viktor Galovic","105634"
"Galvani S.","galvani s","Stefano Galvani","102999"
"Gambill J. M.","gambill j m","Jan Michael Gambill","102998"
"Gambill J.M.","gambill j m","Jan Michael Gambill","102998"
"Gamonal H.","gamonal h","Hermes Gamonal","102997"
"Gao X.","gao x","Xin Gao","106321"
"Garcia-Lopez G.","garcia lopez g","Guillermo Garcia Lopez","104198"
"Garcia-Lopez G. ","garcia lopez g","Guillermo Garcia Lopez","104198"
"Garcia-Sintes J.","garcia sintes j","Javier Garcia Sintes","103365"
"Garcia A.","garcia a","Adrian Garcia","103201"
"Garcia M.","garcia m","Martin Garcia","102984"
"Gard C.","gard c","Catalin Gard","103805"
"Garin C.","garin c","Christian Garin","106426"
"Garza D.","garza d","Daniel Garza","104535"
"Gasquet R.","gasquet r","Richard Gasquet","104755"
"Gasquet R. ","gasquet r","Richard Gasquet","104755"
"Gaudenzi A.","gaudenzi a","Andrea Gaudenzi","102247"
"Gaudi I.","gaudi i","Igor Gaudi","102572"
"Gaudio G.","gaudio g","Gaston Gaudio","103292"
"Gensse A.","gensse a","Augustin Gensse","104227"
"Gerasimov E.","gerasimov e","Egor Gerasimov","106078"
"Ghedin R.","ghedin r","Riccardo Ghedin","104644"
"Ghem A.","ghem a","Andre Ghem","104007"
"Giannessi A.","giannessi a","Alessandro Giannessi","105561"
"Gicquel M.","gicquel m","Marc Gicquel","102967"
"Gigounon G.","gigounon g","Germain Gigounon","105325"
"Gil F.","gil f","Frederico Gil","104523"
"Gimelstob J.","gimelstob j","Justin Gimelstob","102925"
"Gimeno-Traver D.","gimeno traver d","Daniel Gimeno Traver","104593"
"Gimeno-Traver D. ","gimeno traver d","Daniel Gimeno Traver","104593"
"Gimeno D.","gimeno d","Daniel Gimeno Traver","104593"
"Ginepri R.","ginepri r","Robby Ginepri","104068"
"Giner J.","giner j","Juan Giner","103242"
"Giraldo S.","giraldo s","Santiago Giraldo","105053"
"Giron M.","giron m","Marcos Giron","106218"
"Giustino L.","giustino l","Lorenzo Giustino","105841"
