"ï..ATP","Location","Tournament","Date","Series","Court","Surface","Round","Best.of","Winner","Loser","WRank","LRank","W1","L1","W2","L2","W3","L3","W4","L4","W5","L5","Wsets","Lsets","Comment","CBW","CBL","GBW","GBL","IWW","IWL","SBW","SBL","B365W","B365L","B.WW","B.WL","EXW","EXL","PSW","PSL"
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","Quarterfinals","3","Sampras P.","Bryan B.","4","202","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","Quarterfinals","3","Sanguinetti D.","Pavel A.","104","26","3","6","7","6","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","Semifinals","3","Hewitt L.","Pozzi G.","11","76","6","1","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","Semifinals","3","Sampras P.","Sanguinetti D.","4","104","7","5","6","3","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Queens Club","Stella Artois","6/12/2000","International","Outdoor","Grass","The Final","3","Hewitt L.","Sampras P.","11","4","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Arthurs W.","Schuettler R.","94","76","7","6","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Bjorkman J.","Henman T.","85","14","5","7","6","4","7","5","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Black B.","Sa A.","65","82","6","1","6","7","6","1","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Clement A.","Koubek S.","57","36","3","6","7","6","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Cowan B.","Bastl G.","180","72","3","6","7","6","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Ferreira W.","Gimelstob J.","40","99","7","5","6","7","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Fromberg R.","Federer R.","71","35","7","5","6","1","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Gambill J.M.","Lee M.","62","264","6","3","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Grosjean S.","Spadea V.","32","59","6","1","4","6","7","5","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Massu N.","Landsberg J.","68","611","7","6","6","1","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Mirnyi M.","Martin A.","58","66","6","2","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Parmar A.","Pioline C.","151","6","7","5","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Pozzi G.","Sanguinetti D.","64","86","7","5","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Rosset M.","Chela J.I.","33","53","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Santoro F.","Palmer J.","28","519","3","6","7","6","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","1st Round","3","Sargsian S.","Ilie A.","78","41","6","7","6","2","5","0","","","","","1","1","Retired",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","2nd Round","3","Bjorkman J.","Mirnyi M.","85","58","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","2nd Round","3","Black B.","Sargsian S.","65","78","6","3","2","6","6","4","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","2nd Round","3","Ferreira W.","Rosset M.","40","33","6","1","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","2nd Round","3","Fromberg R.","Massu N.","71","68","6","7","6","3","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","2nd Round","3","Gambill J.M.","Santoro F.","62","28","7","6","6","2","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","2nd Round","3","Grosjean S.","Arthurs W.","32","94","7","6","7","6","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","2nd Round","3","Parmar A.","Cowan B.","151","180","6","3","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","2nd Round","3","Pozzi G.","Clement A.","64","57","4","6","7","6","6","1","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","Quarterfinals","3","Bjorkman J.","Fromberg R.","85","71","7","5","4","6","6","3","","","","","2","1","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Nottingham","Nottingham Open","6/19/2000","International","Outdoor","Grass","Quarterfinals","3","Black B.","Parmar A.","65","151","6","4","6","4","","","","","","","2","0","Completed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
