"Players","Ratings","games","Hard_Ratings","Hard_games","Grass_Ratings","Grass_games","Clay_Ratings","Clay_games","Carpet_Ratings","Carpet_games","Nationality","Handed"
"Arquez P.",1489.46911607329,1,1500,0,1500,0,1490.0777813274,1,1500,0,"ARG","R"
"Eagle J.",1489.54744759329,1,1490.00622752154,1,1500,0,1500,0,1500,0,"RSA","R"
"Bahrouzyan O.",1453.32250977527,7,1449.34981248179,7,1500,0,1500,0,1500,0,"UAE","U"
"Belal C.",1489.50876039051,1,1500,0,1500,0,1490.79274813098,1,1500,0,"MAR","R"
"Couto E.",1488.89260277724,1,1500,0,1500,0,1488.98910033706,1,1500,0,"POR","R"
"Sousa T.",1489.10010295594,1,1500,0,1500,0,1490.0128309091,1,1500,0,"BRA","U"
"Navarra M.",1490.47902443551,1,1500,0,1500,0,1491.43736451883,1,1500,0,"ITA","L"
"Derepasko A.",1494.55564128388,1,1500,0,1490.71044813178,1,1500,0,1500,0,"RUS","R"
"Vlasov D.",1491.38523997406,1,1500,0,1500,0,1492.45282082052,1,1500,0,"RUS","R"
"Tkalec M.",1489.52728761379,1,1500,0,1500,0,1490.41463726352,1,1500,0,"SLO","R"
"Bozic I.",1489.09103803615,1,1500,0,1500,0,1489.13087495203,1,1500,0,"SLO","R"
"Pfeiffer K.",1492.19925167959,1,1500,0,1500,0,1491.66997281379,1,1500,0,"POL","U"
"Peppas S.",1491.84274568885,1,1500,0,1500,0,1492.87511966097,1,1500,0,"GRE","R"
"Oncins J.",1488.75156774514,1,1489.54838275416,1,1500,0,1500,0,1500,0,"BRA","R"
"Tomashevich D.",1490.15303835684,1,1491.99437637811,1,1500,0,1500,0,1500,0,"UZB","R"
"Jiang S.",1489.23570618456,1,1490.6738263583,1,1500,0,1500,0,1500,0,"CHN","R"
"Wang Y.",1465.97569434032,4,1473.82864760868,3,1500,0,1490.14049687475,1,1500,0,"CHN","U"
"Koenig R.",1487.37312892925,1,1489.85705928246,1,1500,0,1500,0,1500,0,"RSA","R"
"Shimada T.",1477.69288877063,2,1490.04382447473,1,1489.39473785795,1,1500,0,1500,0,"JPN","R"
"Hui J.",1495.27778578626,1,1495.03419896096,1,1500,0,1500,0,1500,0,"RSA","R"
"Garcia-Sintes J.",1490.26595465458,1,1500,0,1500,0,1491.25549114882,1,1500,0,"ESP","R"
"Zitko R.",1479.62430233896,2,1489.06927493697,1,1500,0,1489.49024920815,1,1500,0,"CZE","R"
"Dupre T.",1489.03980219827,1,1489.42912072876,1,1500,0,1500,0,1500,0,"FRA","R"
"Al Khulaifi N.G.",1489.26731522855,1,1489.22525969261,1,1500,0,1500,0,1500,0,"QAT","R"
"Willman D.",1492.32463543748,1,1491.42552103256,1,1500,0,1500,0,1500,0,"NZL","U"
"Hormazabal G.",1469.36444918772,3,1500,0,1500,0,1472.23560248302,3,1500,0,"CHI","R"
"Olguin L.",1493.94664293262,1,1500,0,1500,0,1493.54817554573,1,1500,0,"ARG","U"
