"playername","id","Ratings","games","games_won","Hard_Ratings","Hard_games","Hard_games_won","Grass_Ratings","Grass_games","Grass_games_won","Clay_Ratings","Clay_games","Clay_games_won","Carpet_Ratings","Carpet_games","Carpet_games_won","NotHard_Ratings","NotHard_games","NotHard_games_won","Bo3_Ratings","Bo3_games","Bo3_games_won","Bo5_Ratings","Bo5_games","Bo5_games_won"
"biryukov m",106,1479.40364227631,2,0,1473.64188680328,2,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1480.25597824056,2,0,1500,0,0
"bjorkman j",107,1548.44985169632,359,177,1497.02311607803,211,100,1627.51780558432,76,50,1433.89834925211,43,12,1487.70873451827,29,15,1572.54938773957,148,77,1528.45402621806,285,136,1566.39961394342,74,41
"black b",108,1493.78777803362,74,35,1466.36052834073,48,21,1568.22360994058,19,13,1453.45183625691,6,1,1487.06662324804,1,0,1542.17230978442,26,14,1490.37793850432,59,28,1491.28144056993,15,7
"black w",109,1483.86539914296,39,15,1459.72360510591,31,12,1479.59472656616,6,2,1500,0,0,1505.0619073996,2,1,1493.80489489381,8,3,1472.87692590155,30,11,1491.87597589937,9,4
"blake j",110,1576.32934360117,567,339,1594.10795211858,410,258,1523.21716160248,56,31,1549.38133822592,79,39,1520.55088697938,22,11,1533.33078884017,157,81,1587.08550981515,464,279,1562.33196590498,103,60
"blake t",111,1471.4181090067,8,3,1483.02316580471,5,2,1499.91429368542,2,1,1487.5,1,0,1500,0,0,1486.44026065232,3,1,1470.6393519793,8,3,1500,0,0
"blanco g",112,1430.6026640825,148,58,1397.39976501763,25,5,1452.97829485925,4,0,1472.66110435759,116,53,1465.02909305885,3,0,1444.78124121803,123,53,1412.51907109149,124,49,1487.76184389392,24,9
"bloomfield r",113,1459.69595198194,16,4,1479.19607164842,2,0,1457.9748847463,14,4,1500,0,0,1500,0,0,1461.91814851399,14,4,1468.60855737404,11,3,1477.46500905425,5,1
"boeker m",114,1485.62968255731,5,1,1487.79947510862,4,1,1500,0,0,1492.97920605947,1,0,1500,0,0,1495.83013696218,1,0,1492.85228240377,4,1,1489.83598084748,1,0
"bogaerts r",115,1490.09481505112,1,0,1487.87935512539,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1489.09382502499,1,0,1500,0,0
"bogdanovic a",116,1417.40739763221,37,10,1471.70106921892,5,1,1402.10297957181,32,9,1500,0,0,1500,0,0,1404.91904060333,32,9,1453.93297547777,28,10,1422.66476448466,9,0
"bogomolov a",117,1510.18733022626,155,63,1512.74707673381,122,52,1476.75872990803,23,10,1418.27315734777,10,1,1500,0,0,1437.84750830967,33,11,1519.7206440889,132,56,1452.35397615857,23,7
"bogomolov jr a",118,1467.85183556696,13,4,1457.58495773313,13,4,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1501.1687969401,9,4,1453.00819611414,4,0
"bohaboy d",119,1485.99505480281,1,0,1484.92284420204,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1486.16113254601,1,0,1500,0,0
"bohane a",120,1491.00923596438,1,0,1492.47675803945,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1490.35888185911,1,0,1500,0,0
"bohli s",121,1402.17173659811,21,2,1419.89015388762,10,0,1487.5,1,0,1463.37342805225,6,1,1477.75832882725,4,1,1448.85139066661,11,2,1406.91301449077,20,2,1483.03808184301,1,0
"bolelli s",122,1617.61323153394,247,103,1519.82464615221,109,39,1543.02856130296,27,14,1609.87577021609,97,43,1512.20374357752,14,7,1640.89282596431,138,64,1599.61667399084,197,81,1539.46379303389,50,22
"bolt a",123,1488.36215233421,1,0,1486.06596972572,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1488.41404919713,1,0,1500,0,0
"bopanna r",124,1445.79582207212,21,5,1428.98543160682,13,2,1485.02412005014,8,3,1500,0,0,1500,0,0,1491.30361258919,8,3,1440.29369573864,21,5,1500,0,0
"boruszewski j",125,1486.23291811231,1,0,1500,0,0,1487.05047029068,1,0,1500,0,0,1500,0,0,1485.84333782763,1,0,1486.59435159361,1,0,1500,0,0
"borvanov r",126,1490.23602455288,1,0,1488.36756357447,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1489.45451444125,1,0,1500,0,0
"bossel a",127,1476.49756556118,2,0,1500,0,0,1476.45709000999,2,0,1500,0,0,1500,0,0,1477.17695624535,2,0,1475.16120581242,2,0,1500,0,0
"bourgeois l",128,1485.70806127737,2,0,1484.05148483399,2,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1484.75579352892,2,0,1500,0,0
"bourgue m",129,1511.79694839989,2,1,1500,0,0,1500,0,0,1510.9476426964,2,1,1500,0,0,1511.48128408416,2,1,1500,0,0,1511.01453724878,2,1
"boutter j",130,1494.30632473466,138,60,1448.37962666715,54,20,1421.84913090261,9,1,1538.1299220876,55,29,1503.22096384018,20,10,1505.7492459381,84,40,1545.52718035531,117,56,1405.59894602657,21,4
"bower j",131,1495.76490531583,3,1,1500,0,0,1487.19300534187,3,1,1500,0,0,1500,0,0,1493.22850527302,3,1,1500,0,0,1489.25259424598,3,1
"bowles c",132,1488.49417982424,1,0,1488.28637873691,1,0,1500,0,0,1500,0,0,1500,0,0,1500,0,0,1487.57071777138,1,0,1500,0,0
"bozic i",133,1486.60660965177,1,0,1500,0,0,1500,0,0,1486.67622950858,1,0,1500,0,0,1486.67557093898,1,0,1487.07192788892,1,0,1500,0,0
"bozoljac i",134,1453.89140706431,25,8,1438.26809930449,8,1,1478.26872797684,9,3,1497.37651237507,5,2,1512.65403448327,3,2,1497.72628702529,17,7,1431.26064625673,16,4,1509.27882685744,9,4
"braasch k",135,1516.90110419895,3,2,1500,0,0,1514.12251002442,3,2,1500,0,0,1500,0,0,1516.94147344351,3,2,1517.80189846726,3,2,1500,0,0
"bracciali d",136,1507.9856504823,80,31,1452.67390182052,30,9,1514.0473624837,14,7,1513.26257062965,23,10,1477.93846679258,13,5,1516.93114603885,50,22,1512.78532585585,64,26,1449.80188863136,16,5
"braga p",137,1488.4201563899,1,0,1500,0,0,1500,0,0,1489.86574128796,1,0,1500,0,0,1489.58730260339,1,0,1488.97858148629,1,0,1500,0,0
"brands d",138,1538.00778887294,143,56,1514.00364615647,75,28,1494.55694395791,15,7,1521.57346915792,53,21,1500,0,0,1519.52810988351,68,28,1547.65026225059,119,49,1453.51682400952,24,7
