Formula for K is C * b ^ games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimum found at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p,0.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,0.580749775,0.580642173,0.580546246,0.580462774,0.58039239,0.580335576,0.580292663,0.580263838,0.580249161,0.58024858,0.580261957,0.580289097,0.580329773,0.580383753,0.580450828,0.580530828,0.580623641,0.580729219,0.580847586,0.580978833,0.581123109,,,,,,,,,,,,,,,,,
,67,0.580758105,0.580655723,0.58056516,0.580487158,0.580422317,0.580371081,0.580333748,0.580310475,0.580301293,0.580306131,0.580324839,0.580357215,0.580403032,0.580462068,0.580534125,0.580619051,0.580716757,0.580827218,0.580950481,0.58108666,0.581235926,,,,,,,,,,,,,,,,,
,68,0.5807696,0.580672363,0.580587077,0.580514452,0.58045505,0.580409281,0.58037741,0.580359564,0.580355751,0.580365882,0.580389793,0.58042728,0.580478118,0.580542093,0.580619023,0.580708776,0.580811282,0.58092654,0.581054621,0.581195661,0.581349851,,,,,,,,,,,,,,,,,
,69,0.580784089,0.580691923,0.58061183,0.580544488,0.580490424,0.580450013,0.58042349,0.580410952,0.580412386,0.580427685,0.580456677,0.580499155,0.580554899,0.580623705,0.580705406,0.58079989,0.580907107,0.581027083,0.581159908,0.581305742,0.581464796,,,,,,,,,,,,,,,,,
,70,0.580801412,0.580714242,0.58063926,0.58057711,0.580528284,0.580493126,0.580471838,0.580464492,0.580471054,0.580491403,0.58052536,0.580572715,0.580633255,0.580706788,0.580793163,0.580892287,0.581004135,0.581128751,0.581266253,0.581416819,0.581580678,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c,0.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.1,0.579131013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.2,0.57913005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.3,0.57912923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.4,0.579128551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.5,0.579128011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.6,0.579127609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7,0.579127344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.8,0.579127214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.9,0.579127218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.579127355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.1,0.579127622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.2,0.57912802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.3,0.579128547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.4,0.579129201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5,0.579129981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.6,0.579130886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.7,0.579131914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.8,0.579133065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.9,0.579134337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.579135729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
